INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2013189719,2.01319E+15,2999,0,criminal-mischief-other,public-disorder,4/27/2013 9:59,4/29/2013 8:00,4/29/2013 10:05,4833 W GILL PL,3126709,1682097,-105.0496555,39.7052951,4,414,westwood
2013189867,2.01319E+15,2399,0,theft-other,larceny,4/26/2013 0:00,4/29/2013 11:45,4/29/2013 12:00,1801 CALIFORNIA ST,3143524,1697563,-104.9895846,39.7475083,6,624,cbd
2013189984,2.01319E+15,2399,0,theft-other,larceny,3/29/2013 0:00,,4/29/2013 13:37,19787 E 47TH PL,3208077,1710868,-104.7596372,39.7828124,5,534,gateway-green-valley-ranch
2013186906,2.01319E+15,1313,0,assault-simple,other-crimes-against-persons,4/27/2013 15:00,,4/27/2013 16:18,4567 E 9TH AVE,3159039,1691869,-104.9345359,39.7316251,3,312,hale
20136003998,2.0136E+16,2999,1,criminal-mischief-mtr-veh,public-disorder,4/29/2013 8:29,4/29/2013 8:35,4/29/2013 9:14,3825 N LAFAYETTE ST,3148910,1705982,-104.9702561,39.7705352,2,211,cole
2013190255,2.01319E+15,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,4/29/2013 15:59,,4/29/2013 17:28,1500 BLOCK BOULDER ST,3137467,1701614,-105.0110472,39.7587204,1,116,highland
20136004019,2.0136E+16,2604,0,fraud-identity-theft,white-collar-crime,4/29/2013 15:14,4/29/2013 15:14,4/29/2013 15:27,3135 W ALABAMA PL,3133097,1678085,-105.0270261,39.6941922,4,431,mar-lee
2013189994,2.01319E+15,2202,0,burglary-residence-by-force,burglary,4/29/2013 12:49,4/29/2013 12:55,4/29/2013 12:55,751 N IVY ST,3162888,1690543,-104.9208811,39.7279184,3,313,montclair
2013188549,2.01319E+15,1313,0,assault-simple,other-crimes-against-persons,4/28/2013 13:15,,4/28/2013 16:45,777 N BANNOCK ST,3143312,1690483,-104.9904797,39.7280757,6,617,lincoln-park
2013189654,2.01319E+15,2999,0,criminal-mischief-other,public-disorder,4/29/2013 6:30,4/29/2013 6:49,4/29/2013 8:45,,3211361,1709603,-104.7479902,39.7792658,5,534,gateway-green-valley-ranch
2013189583,2.01319E+15,5006,0,intimidation-of-a-witness,all-other-crimes,4/29/2013 3:00,4/29/2013 3:04,4/29/2013 8:26,3600 BLK N HUDSON ST,3162157,1705483,-104.9231427,39.7689438,2,224,northeast-park-hill
20136004035,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/27/2013 21:00,4/29/2013 10:25,4/29/2013 20:35,5100 LEETSDALE DR,3161017,1683059,-104.9277006,39.7074059,3,317,washington-virginia-vale
20136004004,2.0136E+16,2399,0,theft-other,larceny,4/26/2013 9:59,4/27/2013 9:59,4/29/2013 10:18,3131 S FEDERAL BLVD,3133144,1665082,-105.0270996,39.658495,4,434,harvey-park-south
2013189712,2.01319E+15,2203,0,burglary-business-by-force,burglary,4/27/2013 15:30,4/29/2013 6:59,4/29/2013 10:08,2180 STOUT ST,3144510,1698904,-104.9860511,39.7511743,6,623,five-points
2013189887,2.01319E+15,1313,2,assault-dv,other-crimes-against-persons,4/29/2013 11:55,,4/29/2013 13:14,3060 N LAFAYETTE ST,3148851,1702214,-104.9705441,39.7601924,2,212,whittier
20136004012,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/25/2013 23:00,4/26/2013 8:29,4/29/2013 12:04,100 BLK W CEDAR AVE,3143018,1685083,-104.9916324,39.7132561,4,421,baker
2013189860,2.01319E+15,2307,0,burglary-vending-machine,larceny,3/29/2013 11:58,4/29/2013 11:58,4/29/2013 11:58,2846 N FEDERAL BLVD,3133605,1701435,-105.0247869,39.7582853,1,124,jefferson-park
2013189163,2.01319E+15,1313,0,assault-simple,other-crimes-against-persons,4/28/2013 21:59,4/28/2013 22:15,4/28/2013 22:45,1200 BLK N WILLOW ST,3171970,1693848,-104.8885136,39.7368278,3,313,east-colfax
2013190580,2.01319E+15,2999,1,criminal-mischief-mtr-veh,public-disorder,4/27/2013 23:15,4/28/2013 9:59,4/29/2013 19:15,4699 N KITTREDGE ST,3195540,1709010,-104.8042942,39.777984,5,531,gateway-green-valley-ranch
20136004015,2.0136E+16,2399,1,theft-bicycle,larceny,4/28/2013 20:00,4/28/2013 22:30,4/29/2013 13:43,1510 N CLARKSON ST,3147026,1695073,-104.9771816,39.7406181,6,611,north-capitol-hill
2013189704,2.01319E+15,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/28/2013 15:59,4/29/2013 6:30,4/29/2013 11:07,700 S BROADWAY ST,3144310,1681568,-104.9871105,39.7035868,4,423,washington-park-west
20136004007,2.0136E+16,2999,2,criminal-mischief-graffiti,public-disorder,4/29/2013 1:30,4/29/2013 10:30,4/29/2013 10:44,2711 N HAZEL CT,3132722,1700722,-105.0279407,39.7563406,1,121,sloan-lake
2013190108,2.01319E+15,2203,0,burglary-business-by-force,burglary,4/28/2013 10:30,4/28/2013 18:00,4/29/2013 15:45,222 N DETROIT ST,3153501,1687555,-104.9543179,39.7198753,3,314,cherry-creek
20136003996,2.0136E+16,2399,1,theft-bicycle,larceny,4/28/2013 4:25,4/28/2013 5:25,4/29/2013 8:35,3101 BLAKE ST,3145901,1703899,-104.9810027,39.7648647,6,621,five-points
20136003995,2.0136E+16,2999,1,criminal-mischief-mtr-veh,public-disorder,4/28/2013 6:59,4/29/2013 7:54,4/29/2013 8:03,2500 BLK 17TH ST,3138246,1701829,-105.0082723,39.7592991,1,116,highland
2013190064,2.01319E+15,3562,0,drug-marijuana-possess,drug-alcohol,4/29/2013 13:44,,4/29/2013 13:44,1499 N BROADWAY ST,3144131,1694648,-104.9874844,39.7394967,6,616,civic-center
2013189847,2.01319E+15,2404,0,theft-of-motor-vehicle,auto-theft,4/28/2013 18:00,4/29/2013 11:00,4/29/2013 12:11,675 S QUIVAS ST,3138504,1681730,-105.007742,39.7041197,4,413,athmar-park
20136004005,2.0136E+16,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,4/29/2013 10:05,4/29/2013 10:05,4/29/2013 10:25,1600 W 12TH AVE,3137875,1691922,-105.009782,39.7321081,6,618,lincoln-park
2013189356,2.01319E+15,5499,0,traf-other,all-other-crimes,4/29/2013 0:40,,4/29/2013 1:12,8200 BLOCK E COLFAX AVE,3170785,1694997,-104.8926997,39.7400038,3,313,east-colfax
20136004016,2.0136E+16,2308,0,theft-from-bldg,larceny,4/28/2013 1:30,4/28/2013 10:30,4/29/2013 13:44,734 N SANTA FE DR,3141051,1690412,-104.9985195,39.7279153,6,617,lincoln-park
2013189577,2.01319E+15,2204,0,burglary-residence-no-force,burglary,4/28/2013 17:00,4/29/2013 6:59,4/29/2013 8:09,821 S VINE ST,3151044,1680880,-104.9631923,39.7015912,3,321,washington-park
2013190013,2.01319E+15,2202,0,burglary-residence-by-force,burglary,4/26/2013 6:00,4/29/2013 13:11,4/29/2013 13:11,4300 N CLAYTON ST,3153523,1708202,-104.9537984,39.7765544,2,222,elyria-swansea
2013189710,2.01319E+15,2404,0,theft-of-motor-vehicle,auto-theft,4/29/2013 6:30,,4/29/2013 10:18,4733 W 7TH AVE,3127146,1690753,-105.0479493,39.7290517,1,123,villa-park
2013189670,2.01319E+15,2399,0,theft-other,larceny,4/28/2013 1:30,,4/29/2013 9:43,1920 MARKET ST,3142234,1699538,-104.994133,39.7529498,6,625,union-station
20136004029,2.0136E+16,2999,1,criminal-mischief-mtr-veh,public-disorder,4/27/2013 3:00,4/28/2013 11:29,4/29/2013 19:15,4700 BLK N ARGONNE ST,3206176,1710871,-104.7664008,39.782863,5,534,gateway-green-valley-ranch
20136004024,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/29/2013 3:59,4/29/2013 5:00,4/29/2013 17:32,2100 BLK CURTIS ST,3143828,1699162,-104.9884715,39.7518931,6,623,five-points
